title,vendor,inventory_policy,inventory_available,created_at,meta,objectID,curators_product,soldout,maxdeltime,mindeltime
"""I saw you crying at the discoteque"" Ashtray",Musae Studio,continue,True,2023-11-03T17:13:40.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '1'}}",44711513784585,False,False,4,1
The Arlo Stainless Steel Cup Set,Service Projects,deny,True,2024-04-08T14:03:38.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",45294114603273,False,False,2,1
Ice Cream Cup,Service Projects,deny,True,2024-04-08T14:03:28.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",45294113358089,False,False,2,1
"""F*ck Tea"" Tray",Musae Studio,continue,True,2024-09-18T10:31:38.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '1'}}",48427581374729,False,False,4,1
I Stay Out Too Late Tray in Red,L&Clay Ceramics,deny,False,2024-07-29T11:42:23.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '5'}, 'mindeliverytime': {'mindeltime': '4'}}",48215952359689,False,False,5,4
Set of 4 Cocktail Napkins,Musae Studio,continue,True,2023-11-03T17:14:08.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",44711514865929,False,False,2,1
The Arlo Espresso 90 ml,Service Projects,deny,True,2024-04-08T14:03:37.000Z,{'custom': {'soldout': False}},45294114570505,False,False,-1,-1
"""Better late than ugly"" Ashtray",Musae Studio,continue,True,2023-11-03T17:13:45.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '1'}}",44711513882889,False,False,4,1
Lilu Candle Wine Velvet Edition,Taith,deny,True,2024-06-12T11:02:36.000Z,{'custom': {'soldout': False}},45657929122057,False,False,-1,-1
Tulip Wine Glass - Set of Four,Sophie Lou Jacobsen,deny,True,2024-09-26T21:32:41.000Z,{'custom': {'soldout': False}},48464989061385,False,False,-1,-1
"""Better than Sex"" Fil Rouge Plate",Musae Studio,continue,True,2024-09-18T10:32:52.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '2'}}",48427584848137,False,False,4,2
"""Better than Sex"" Fil Rouge Plate",Musae Studio,continue,True,2024-09-18T10:32:52.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '2'}}",48427584815369,False,False,4,2
Trumpet Aperitif Glass - Set of Four,Sophie Lou Jacobsen,deny,True,2024-09-26T21:32:43.000Z,"{'custom': {'curators_product': True, 'soldout': False}}",48464989126921,True,False,-1,-1
The Bow Chair,Worn Studio,deny,True,2024-06-13T10:11:57.000Z,"{'custom': {'curators_product': True, 'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '2'}}",47991404069129,True,False,4,2
Orphée Liqueur Glass - Set Of Two,Justine Menard,deny,False,2024-09-03T17:59:58.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '2'}}",48363008852233,False,False,4,2
Ceramic Plate 'Organic Fusion N°2',INI Ceramique,deny,True,2024-08-08T10:38:48.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '6'}, 'mindeliverytime': {'mindeltime': '3'}}",48252824453385,False,False,6,3
Vintage Glass Bowl,Out For Lunch,deny,True,2024-10-07T16:21:06.000Z,{'custom': {'soldout': False}},48517384700169,False,False,-1,-1
"""Ombrellina"" Olive Table Lamp",mattina moderna,deny,True,2024-09-13T12:40:18.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '3'}}",48410977206537,False,False,4,3
Squiggle Pitcher,Sophie Lou Jacobsen,deny,True,2024-09-26T21:32:43.000Z,{'custom': {'soldout': False}},48464989094153,False,False,-1,-1
Vintage Set of 4 Twist Cutlery,Les Objoies,deny,True,2024-09-24T11:02:27.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48452244111625,False,False,2,1
Flowery Wine Goblet,noki ceramics,deny,True,2024-07-10T10:19:20.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '1'}}",48133390467337,False,False,4,1
Art Deco Burl Wood Hand-Painted Vase,Dodo Vintage,deny,True,2024-08-29T10:52:21.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48337424646409,False,False,2,1
"""Hangover"" Fil Rouge Plate",Musae Studio,continue,True,2024-09-18T10:40:05.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '1'}}",48427604148489,False,False,4,1
"""Hangover"" Fil Rouge Plate",Musae Studio,continue,True,2024-09-18T10:40:05.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '1'}}",48427604115721,False,False,4,1
