title,vendor,inventory_policy,inventory_available,created_at,meta,objectID,curators_product,soldout,maxdeltime,mindeltime,itemsViewed,itemsPurchased,itemsAddedToCart,itemRevenue,ConversionRate
"""I saw you crying at the discoteque"" Ashtray",Musae Studio,continue,True,2023-11-03T17:13:40.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '1'}}",44711513784585,False,False,4,1,368,25,190,1129.5457569999999,0.06793478260869565
The Arlo Stainless Steel Cup Set,Service Projects,deny,True,2024-04-08T14:03:38.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",45294114603273,False,False,2,1,604,13,88,520.605484,0.02152317880794702
Ice Cream Cup,Service Projects,deny,True,2024-04-08T14:03:28.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",45294113358089,False,False,2,1,489,14,67,234.64000499999997,0.028629856850715747
"""F*ck Tea"" Tray",Musae Studio,continue,True,2024-09-18T10:31:38.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '1'}}",48427581374729,False,False,4,1,109,8,43,416.878491,0.07339449541284404
I Stay Out Too Late Tray in Red,L&Clay Ceramics,deny,False,2024-07-29T11:42:23.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '5'}, 'mindeliverytime': {'mindeltime': '4'}}",48215952359689,False,False,5,4,289,6,30,561.918476,0.020761245674740483
Set of 4 Cocktail Napkins,Musae Studio,continue,True,2023-11-03T17:14:08.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",44711514865929,False,False,2,1,1390,13,55,679.64812299999994,0.00935251798561151
The Arlo Espresso 90 ml,Service Projects,deny,True,2024-04-08T14:03:37.000Z,{'custom': {'soldout': False}},45294114570505,False,False,-1,-1,386,8,34,319.599998,0.02072538860103627
"""Better late than ugly"" Ashtray",Musae Studio,continue,True,2023-11-03T17:13:45.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '1'}}",44711513882889,False,False,4,1,24,4,47,181.4712,0.16666666666666666
Lilu Candle Wine Velvet Edition,Taith,deny,True,2024-06-12T11:02:36.000Z,{'custom': {'soldout': False}},45657929122057,False,False,-1,-1,493,5,36,282.427958,0.010141987829614604
Tulip Wine Glass - Set of Four,Sophie Lou Jacobsen,deny,True,2024-09-26T21:32:41.000Z,{'custom': {'soldout': False}},48464989061385,False,False,-1,-1,52,2,9,268.64,0.038461538461538464
"""Better than Sex"" Fil Rouge Plate",Musae Studio,continue,True,2024-09-18T10:32:52.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '2'}}",48427584848137,False,False,4,2,23,1,0,51.084447,0.043478260869565216
"""Better than Sex"" Fil Rouge Plate",Musae Studio,continue,True,2024-09-18T10:32:52.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '2'}}",48427584815369,False,False,4,2,23,1,0,51.084447,0.043478260869565216
Trumpet Aperitif Glass - Set of Four,Sophie Lou Jacobsen,deny,True,2024-09-26T21:32:43.000Z,"{'custom': {'curators_product': True, 'soldout': False}}",48464989126921,True,False,-1,-1,243,1,21,120.89,0.00411522633744856
The Bow Chair,Worn Studio,deny,True,2024-06-13T10:11:57.000Z,"{'custom': {'curators_product': True, 'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '2'}}",47991404069129,True,False,4,2,865,3,27,4383.184699,0.003468208092485549
Orphée Liqueur Glass - Set Of Two,Justine Menard,deny,False,2024-09-03T17:59:58.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '2'}}",48363008852233,False,False,4,2,1306,4,33,864.354473,0.0030627871362940277
Ceramic Plate 'Organic Fusion N°2',INI Ceramique,deny,True,2024-08-08T10:38:48.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '6'}, 'mindeliverytime': {'mindeltime': '3'}}",48252824453385,False,False,6,3,52,2,12,182.292395,0.038461538461538464
Vintage Glass Bowl,Out For Lunch,deny,True,2024-10-07T16:21:06.000Z,{'custom': {'soldout': False}},48517384700169,False,False,-1,-1,29,1,1,471.132204,0.034482758620689655
"""Ombrellina"" Olive Table Lamp",mattina moderna,deny,True,2024-09-13T12:40:18.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '3'}}",48410977206537,False,False,4,3,14,1,7,635,0.07142857142857142
Squiggle Pitcher,Sophie Lou Jacobsen,deny,True,2024-09-26T21:32:43.000Z,{'custom': {'soldout': False}},48464989094153,False,False,-1,-1,63,1,6,156.71,0.015873015873015872
Vintage Set of 4 Twist Cutlery,Les Objoies,deny,True,2024-09-24T11:02:27.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48452244111625,False,False,2,1,209,1,8,154.238027,0.004784688995215311
Flowery Wine Goblet,noki ceramics,deny,True,2024-07-10T10:19:20.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '1'}}",48133390467337,False,False,4,1,22,2,3,76,0.09090909090909091
Art Deco Burl Wood Hand-Painted Vase,Dodo Vintage,deny,True,2024-08-29T10:52:21.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48337424646409,False,False,2,1,73,1,5,300,0.0136986301369863
"""Hangover"" Fil Rouge Plate",Musae Studio,continue,True,2024-09-18T10:40:05.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '1'}}",48427604148489,False,False,4,1,5,0,0,0,0.0
"""Hangover"" Fil Rouge Plate",Musae Studio,continue,True,2024-09-18T10:40:05.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '1'}}",48427604115721,False,False,4,1,5,0,0,0,0.0
"""Hangover"" Fil Rouge Plate",Musae Studio,continue,True,2024-09-18T10:40:05.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '1'}}",48427604082953,False,False,4,1,5,0,0,0,0.0
"""Hangover"" Fil Rouge Plate",Musae Studio,continue,True,2024-09-18T10:40:04.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '1'}}",48427604050185,False,False,4,1,5,0,0,0,0.0
Mid Century Serving Tray,Flock Studio,deny,True,2024-09-11T15:43:25.000Z,{'custom': {'soldout': False}},48401976328457,False,False,-1,-1,19,1,1,80,0.05263157894736842
Gio Mini Lighter Holder,FRY POWERS,deny,True,2024-07-25T11:08:34.000Z,{'custom': {'soldout': False}},48197435916553,False,False,-1,-1,538,0,27,0,0.0
Gio Mini Lighter Holder,FRY POWERS,deny,True,2024-07-25T11:08:34.000Z,{'custom': {'soldout': False}},48197435883785,False,False,-1,-1,538,0,27,0,0.0
Gio Mini Lighter Holder,FRY POWERS,deny,True,2024-07-25T11:08:34.000Z,{'custom': {'soldout': False}},48197435851017,False,False,-1,-1,538,0,27,0,0.0
Silver Modernist Candleholder,Médecine,deny,True,2024-10-09T12:53:58.000Z,{'custom': {'soldout': False}},48527941697801,False,False,-1,-1,19,0,1,0,0.0
"Croquis Drawing no.VII ""Amelia""",Médecine,deny,True,2024-09-24T12:30:06.000Z,{'custom': {'soldout': False}},48452680122633,False,False,-1,-1,10,0,4,0,0.0
Glass Serving Dish Set,Dodo Vintage,deny,True,2024-10-08T13:27:40.000Z,{'custom': {'soldout': False}},48521568813321,False,False,-1,-1,17,0,1,0,0.0
1980s Shell Shaped Glass Bowls,Dodo Vintage,deny,True,2024-10-08T13:26:24.000Z,{'custom': {'soldout': False}},48521565176073,False,False,-1,-1,30,0,1,0,0.0
1980s Shell Shaped Glass Bowls,Dodo Vintage,deny,True,2024-10-08T13:26:24.000Z,{'custom': {'soldout': False}},48521565143305,False,False,-1,-1,30,0,1,0,0.0
1980s Shell Shaped Glass Bowls,Dodo Vintage,deny,True,2024-10-08T13:26:24.000Z,{'custom': {'soldout': False}},48521565110537,False,False,-1,-1,30,0,1,0,0.0
Set of 2 Glass Candleholder by Peill & Putzler,Dodo Vintage,deny,True,2024-10-07T16:18:47.000Z,{'custom': {'soldout': False}},48517380440329,False,False,-1,-1,7,0,1,0,0.0
Angel Flute - Set of Four,Sophie Lou Jacobsen,deny,True,2024-09-26T21:33:03.000Z,{'custom': {'soldout': False}},48464990011657,False,False,-1,-1,49,0,7,0,0.0
Vintage Danish Wooden Salt & Pepper Set,Flock Studio,deny,True,2024-09-09T10:29:47.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48390221136137,False,False,2,1,34,1,4,90,0.029411764705882353
Silver Metal 1960s Candleholder,Dodo Vintage,deny,True,2024-10-07T16:19:02.000Z,{'custom': {'soldout': False}},48517380964617,False,False,-1,-1,10,0,0,0,0.0
