itemName,itemsViewed,itemsPurchased,itemsAddedToCart,itemRevenue,prvItemsViewed,prvItemsPurchased,prvItemsAddedToCart,prvItemRevenue,ProductGrowthRate,VisitsGrowthRate
"""I saw you crying at the discoteque"" Ashtray",208,4,52,182.9424,53,5,42,226.603355,-0.2,2.9245283018867925
The Arlo Stainless Steel Cup Set,152,4,21,159.799999,126,5,18,201.00548300000003,-0.2,0.20634920634920634
Ice Cream Cup,117,0,18,0,124,1,13,16.76,-1.0,-0.056451612903225805
"""F*ck Tea"" Tray",26,1,5,52,20,2,11,104.878491,-0.5,0.3
I Stay Out Too Late Tray in Red,88,3,8,283.815547,74,1,8,94.102928,2.0,0.1891891891891892
Set of 4 Cocktail Napkins,218,2,6,106.769634,292,2,15,104.878491,0.0,-0.2534246575342466
The Arlo Espresso 90 ml,65,0,13,0,90,2,3,79.9,-1.0,-0.2777777777777778
"""Better late than ugly"" Ashtray",8,2,9,91.47120000000001,2,0,8,0,0.0,3.0
Lilu Candle Wine Velvet Edition,226,3,15,169.501012,143,2,15,112.926946,0.5,0.5804195804195804
Tulip Wine Glass - Set of Four,15,0,0,0,7,2,4,268.64,-1.0,1.1428571428571428
"""Better than Sex"" Fil Rouge Plate - Big",11,0,0,0,12,1,0,51.084447,-1.0,-0.08333333333333333
"""Better than Sex"" Fil Rouge Plate - Big",11,0,0,0,12,1,0,51.084447,-1.0,-0.08333333333333333
Trumpet Aperitif Glass - Set of Four,140,0,6,0,39,1,5,120.89,-1.0,2.58974358974359
The Bow Chair,378,1,8,1582.009449,167,1,3,1581.17525,0.0,1.2634730538922156
Orphée Liqueur Glass - Set Of Two,199,1,6,219.354473,260,0,7,0,0.0,-0.23461538461538461
Ceramic Plate 'Organic Fusion N°2',19,1,3,92.292395,11,1,1,90,0.0,0.7272727272727273
Vintage Glass Bowl by Karel Zemek,29,1,1,471.132204,0,0,0,0,0.0,0.0
"""Ombrellina"" Olive Table Lamp",9,1,2,635,2,0,1,0,0.0,3.5
Squiggle Pitcher,28,0,2,0,26,1,4,156.71,-1.0,0.07692307692307693
Vintage Set of 4 Twist Cutlery,96,1,3,154.238027,79,0,4,0,0.0,0.21518987341772153
Flowery Wine Goblet,12,1,2,38,4,0,0,0,0.0,2.0
Art Deco Burl Wood Hand-Painted Vase,2,0,1,0,1,0,0,0,0.0,1.0
"""Hangover"" Fil Rouge Plate - Small / Verde",3,0,0,0,2,0,0,0,0.0,0.5
"""Hangover"" Fil Rouge Plate - Small / Verde",3,0,0,0,2,0,0,0,0.0,0.5
"""Hangover"" Fil Rouge Plate - Small / Verde",3,0,0,0,2,0,0,0,0.0,0.5
"""Hangover"" Fil Rouge Plate - Small / Verde",3,0,0,0,2,0,0,0,0.0,0.5
Mid Century Serving Tray,5,0,0,0,5,0,0,0,0.0,0.0
Gio Mini Lighter Holder,57,0,2,0,178,0,8,0,0.0,-0.6797752808988764
Gio Mini Lighter Holder,57,0,2,0,178,0,8,0,0.0,-0.6797752808988764
Gio Mini Lighter Holder,57,0,2,0,178,0,8,0,0.0,-0.6797752808988764
Silver Modernist Candleholder,19,0,1,0,0,0,0,0,0.0,0.0
"Croquis Drawing no.VII ""Amelia""",6,0,1,0,3,0,0,0,0.0,1.0
Glass Serving Dish Set,17,0,1,0,0,0,0,0,0.0,0.0
1980s Shell Shaped Glass Bowls,30,0,1,0,0,0,0,0,0.0,0.0
1980s Shell Shaped Glass Bowls,30,0,1,0,0,0,0,0,0.0,0.0
1980s Shell Shaped Glass Bowls,30,0,1,0,0,0,0,0,0.0,0.0
Set of 2 Glass Candleholder by Peill & Putzler,7,0,1,0,0,0,0,0,0.0,0.0
Angel Flute - Set of Four,22,0,4,0,7,0,2,0,0.0,2.142857142857143
Vintage Danish Wooden Salt & Pepper Set,5,0,1,0,6,0,0,0,0.0,-0.16666666666666666
Silver Metal 1960s Candleholder,10,0,0,0,0,0,0,0,0.0,0.0
Roman Side Table,44,1,7,691.601085,7,0,1,0,0.0,5.285714285714286
Gio Lighter Holder,65,0,4,0,210,0,5,0,0.0,-0.6904761904761905
Gio Lighter Holder,65,0,4,0,210,0,5,0,0.0,-0.6904761904761905
Gio Lighter Holder,65,0,4,0,210,0,5,0,0.0,-0.6904761904761905
Squiggle Tray,33,0,0,0,5,0,0,0,0.0,5.6
Solid Vintage Murero Glass Vase - 1970s Italy,48,0,4,0,0,0,0,0,0.0,0.0
"""Going Home"" Candleholder",16,1,3,221.4216,4,1,5,216,0.0,3.0
Vintage Table Lamp 80s,44,0,2,0,0,0,0,0,0.0,0.0
"""Aquarama"" Headboard in African Mahogany - W272 x H131 CM (W107 x H51.6 INCHES)",50,0,2,0,5,0,1,0,0.0,9.0
"""Aquarama"" Headboard in African Mahogany - W272 x H131 CM (W107 x H51.6 INCHES)",50,0,2,0,5,0,1,0,0.0,9.0
"""Aquarama"" Headboard in African Mahogany - W272 x H131 CM (W107 x H51.6 INCHES)",50,0,2,0,5,0,1,0,0.0,9.0
"""Aquarama"" Headboard in African Mahogany - W272 x H131 CM (W107 x H51.6 INCHES)",50,0,2,0,5,0,1,0,0.0,9.0
Vintage Murano Glass Lamp 80s Memphis Style,54,0,3,0,0,0,0,0,0.0,0.0
Vintage Glass Jar 1970s,19,0,1,0,0,0,0,0,0.0,0.0
Memphis Style Vintage Murano Glass Table Lamp,100,0,2,0,0,0,0,0,0.0,0.0
"Original Drawing, Abstract Motif in Wooden Frame – Italy 1960s",103,0,2,0,0,0,0,0,0.0,0.0
Vintage Ceramic Wall Clock 1970s Italy,39,0,2,0,0,0,0,0,0.0,0.0
Vintage Ceramic Table Lamp with Silk Shade - Italy 70s,100,0,2,0,0,0,0,0,0.0,0.0
Vintage Murano Glass Chandelier by Toni Zuccheri for Mazzega,30,0,2,0,0,0,0,0,0.0,0.0
Vintage Ceiling Lamp Murano Glass - 1980s Italy,122,0,2,0,0,0,0,0,0.0,0.0
Set of 6 Cutlery,25,0,0,0,0,0,0,0,0.0,0.0
Psychedelic Mirror Long,143,0,6,0,156,0,5,0,0.0,-0.08333333333333333
"""I saw you crying at the discoteque"" Plate",20,0,20,0,9,0,10,0,0.0,1.2222222222222223
Set of 2 Candleholders – Postmodern 1980s,22,0,0,0,0,0,0,0,0.0,0.0
Vintage metal Carafe - Rameria Lando Rinaldini 1950s,10,0,0,0,0,0,0,0,0.0,0.0
Iron Candleholder 70s,8,0,0,0,0,0,0,0,0.0,0.0
Vintage Bronze Sculpture of a Hand – Italy 1960s,54,0,1,0,0,0,0,0,0.0,0.0
5 Retro Murano Drinking Glasses,34,0,1,0,0,0,0,0,0.0,0.0
Vintage Ceiling Lamp - 1980s Murano Glass,62,0,1,0,0,0,0,0,0.0,0.0
Two Metal Candlesticks Memphis Style,15,0,1,0,0,0,0,0,0.0,0.0
Antique Fruit Bowl - Hand-Carved Copper,43,0,1,0,0,0,0,0,0.0,0.0
XXL Brutalist metal Candle Holder Italy 1960s,36,0,1,0,0,0,0,0,0.0,0.0
Agnes Hand Towel,10,0,2,0,4,0,0,0,0.0,1.5
Agnes Bath Towel,5,0,1,0,4,0,2,0,0.0,0.25
Alma Bath Mat,9,0,1,0,7,0,2,0,0.0,0.2857142857142857
Forged Candleholder – Brutalist Design 1950s,18,0,0,0,0,0,0,0,0.0,0.0
Kaiser Leuchten Table Lamp By Klaus Hempel,59,0,0,0,0,0,0,0,0.0,0.0
Vintage Glass Vase for Riihimäen Lasi Oy,20,0,0,0,0,0,0,0,0.0,0.0
Karin Bath Towel,20,0,2,0,10,0,0,0,0.0,1.0
Italian Male in Plaster,101,0,2,0,34,0,1,0,0.0,1.9705882352941178
Mid-Century Metal and Wood Lamp,21,0,2,0,16,0,0,0,0.0,0.3125
Ester Bath Towel,3,0,1,0,1,0,0,0,0.0,2.0
Karin Bath Mat,15,0,0,0,4,0,0,0,0.0,2.75
Ester Bath Mat,13,0,0,0,3,0,0,0,0.0,3.3333333333333335
Agnes Bath Mat,6,0,1,0,1,0,0,0,0.0,5.0
Artisan Ceramic Bowl,42,0,5,0,0,0,0,0,0.0,0.0
Agnes Bath Sheet,4,0,0,0,1,0,0,0,0.0,3.0
Alma Bath Towel,16,0,0,0,6,0,0,0,0.0,1.6666666666666667
Ester Hand Towel,7,0,0,0,1,0,0,0,0.0,6.0
Alma Core Set,7,0,0,0,0,0,0,0,0.0,0.0
Karin Bath Sheet,13,0,0,0,11,0,0,0,0.0,0.18181818181818182
Alma Bath Sheet,2,0,0,0,3,0,0,0,0.0,-0.3333333333333333
Ester Core Set,1,0,0,0,0,0,0,0,0.0,0.0
Ester Bath Sheet,0,0,0,0,0,0,0,0,0.0,0.0
Karin Core Set,3,0,0,0,1,0,0,0,0.0,2.0
Ester Complete Set,4,0,0,0,2,0,0,0,0.0,1.0
Brushed Blue Ceramic Coffee Table,55,0,0,0,4,0,0,0,0.0,12.75
Ceramic Coffee Table in Cream,42,0,0,0,9,0,0,0,0.0,3.6666666666666665
Zoomorphic Ceramic Lamp,85,0,3,0,0,0,0,0,0.0,0.0
"Iron Floor Lamp, 1960s.",10,0,1,0,0,0,0,0,0.0,0.0
"Forged iron bench, 1940s",6,0,1,0,0,0,0,0,0.0,0.0
Lulu Electric Blue Velvet Edition,48,1,5,45,22,0,1,0,0.0,1.1818181818181819
"Max Bre Gilded Iron Brutalist Table Lamp, 1960s.",2,0,0,0,0,0,0,0,0.0,0.0
"Black Egg Ceramic Lamp, 1960s.",3,0,0,0,0,0,0,0,0.0,0.0
"Pair of Mural Candleholders, France, 1960s.",0,0,0,0,0,0,0,0,0.0,0.0
"""Statue antique, 1901"" Drawing",0,0,0,0,0,0,0,0,0.0,0.0
